watao,minmag,maxmag,O1SMGN,WSFRRT1,WSFRRT2,OBWNNAME,bkgnd
0,15.5,24.0,600,30,30,open,1
1,15.0,15.5,600,30,30,open,1
2,14.5,15.0,600,80,80,open,1
3,14.0,14.5,600,100,100,open,1
4,13.0,14.0,600,150,150,open,1
5,12.5,13.0,600,300,300,open,1
6,12.0,12.5,600,400,400,open,1
7,11.5,12.0,600,500,500,open,1
8,11.0,11.5,600,700,500,open,1
9,10.5,11.0,600,800,800,open,1
10,10.0,10.5,600,1000,800,open,1
11,9.0,10.0,400,1500,1500,open,1
12,8.0,9.0,200,1500,1500,open,1
13,7.0,8.0,70,2000,2000,open,1
14,6.0,7.0,30,2000,2000,open,1
15,5.0,6.0,8,2000,2000,open,1
16,4.0,5.0,4,2000,2000,open,1
17,3.0,4.0,4,2000,2000,40trans,1
18,1.5,3.0,2,2000,2000,40trans,1
19,-3.0,1.5,1,2000,2000,15trans,1
